Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
German,Indo-European,what,was,5,0 ,How,Some,Something,What,Which,,,,,,,,,,,,,,,,,,,,
German,Indo-European,white,weiß,1,0 ,White,,,,,,,,,,,,,,,,,,,,,,,,
German,Indo-European,who,wer,4,0 ,Someone,The Person Who,Who,"Whoerver,Anybody",,,,,,,,,,,,,,,,,,,,,
German,Indo-European,woman,Frau,2,0 ,Wife,Woman,,,,,,,,,,,,,,,,,,,,,,,
German,Indo-European,you,du,1,0 ,You,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,bad,κακό（kakó）,5,0 ,Bad,"Debased,Evil, Wicked",Harm,Ill,Trouble,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,big,μεγάλος(megálos),5,0 ,Big,"Elder,Older","Great,Superior",Heavy,High,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,bird,πουλί（poulí）,1,0 ,Bird,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,black,μαύρος（mávros）,11,0 ,Black,"Brown,Tanned",Dark,Decayed,"Dejected,Dismal",Desperate,Gloomy,Grim,Poor,Terrible,"Vicious, Malicious",,,,,,,,,,,,,,
Greek,Indo-European,blood,αίμα（aíma）,1,0 ,Blood,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,bone,οστό（ostó）,1,0 ,Bone,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,cold,κρύο（krýo）,1,0 ,Cold,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,come,έρχομαι（érchomai）,3,0 ,Come,Fit,"Reach,Arrive",,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,die,πεθαίνω（pethaíno）,2,0 ,Die,Kill,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,dog,σκύλος（skýlos）,2,0 ,Dog,Dogfish,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,drink,ποτό（potó）,1,0 ,Drink,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,ear,αφτί（aftí）,1,0 ,Ear,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,earth_soil,γη（gi）,5,2 ,Earth,Ground,Land,Soil,World,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,earth_soil,έδαφος（édafos）,4,2 ,Ground,Land,Soil,Territory,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,eat,τρώω（tróo）,20,0 ,Beat,Break One'S Fast,"Bug, Pester",Chew,Continue Do,Corrode,"Cost, Consume",Destroy,Earn Good Money,Eat,"Eat Up,Use Up,Get Through",Embezzle,Exhaust,Fall For,Kill,Miss Out,Oust,Squander,Steal,Swallow,,,,,
Greek,Indo-European,eye,μάτι（máti）,6,0 ,Bud,"Envy, Evil Eye",Eye,Eyesight,Ring,Spyhole,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,fire,Φωτιά（Fotiá）,4,0 ,Battle,Fire,Flame,Light,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,foot,πόδι（pódi）,2,0 ,Foot,Leg,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,give,δίνω（díno）,4,0 ,Give,Pass,Pay Bills,Sell,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,go,πηγαίνω（pigaíno）,4,0 ,Be,Go,Lead,"Work, Be Going",,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,good,Καλός（Kalós）,6,0 ,"Beneficial,Profitable",Effective,"Fine, Nice",Good,Happy,Kind,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,hand,χέρι（chéri）,3,0 ,Arm,Hand,Handle(V),,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,head,κεφάλι（kefáli）,4,0 ,Ball,Bulb,Head,Start Or End Of A Thing,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,hear_listen,ακούω（akoúo）,2,0 ,Hear,Listen,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,heart,καρδιά（kardiá）,5,0 ,Center,Courage,Heart,Middle,"Spirit, Mind",,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,hot,ζεστό（zestó）,1,0 ,Hot,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,human,ανθρώπινος,2,0 ,Human,Humane,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,I,Εγώ(Egó),1,0 ,I,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,long,μακρύς（makrýs）,1,0 ,Long,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,man,άνδρας（ándras）,2,0 ,Husband,Man,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,many,πολλοί(polloí),2,0 ,Lots Of,Many,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,moon,φεγγάρι（fengári）,2,0 ,Moon,Moon Light,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,mouth,στόμα（stóma）,1,0 ,Mouth,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,new,νέος（néos）,4,0 ,Latest,Modern,New,Young,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,night,νύχτα（nýchta）,1,0 ,Night,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,not,δεν(den),1,0 ,Not,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,old,παλαιός（paliós）,2,0 ,Ancient,Old,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,one,ένας（énas）,4,0 ,"A,An",One,Some One,The Same Thing,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,person,πρόσωπο（prósopo）,3,0 ,Character,Face,Person,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,rain,βροχή（vrochí）,3,0 ,"Flood,Deluge",Rain,Shower,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,round,στρογγυλός（strongylós）,1,0 ,Round,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,say,λέγω（légo）,8,0 ,Ask,Call,Mean,Recite,Say,Show,"Talk,Speak",Tell,,,,,,,,,,,,,,,,,
Greek,Indo-European,see_look,βλέπω（vlépo）,5,2 ,Foresee,Judge,Look After,See,Visit,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,see_look,ματιά（matiá）,3,2 ,Glance,Look,View,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,sky,ουρανός（ouranós）,3,0 ,Canopy,Roof,Sky,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,sleep,κοιμάμαι,2,0 ,Lie Dormant,Sleep,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,small,μικρός（mikrós）,8,0 ,Baby,Little,Low,Short,Slight,Small,Young,Younger,,,,,,,,,,,,,,,,,
Greek,Indo-European,square,τετράγωνο（tetrágono）,1,0 ,Square,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,stand,στέκομαι（stékomai）,4,0 ,Be,Stand,Stand Up,Stop,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,stone,πέτρα（pétra）,1,0 ,Stone,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,sun,ήλιος（ílios）,2,0 ,Sun,Sunflower,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,that,ότι(óti),1,0 ,That,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,this,αυτό(aftó),3,0 ,It,This,This One,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,three,τρία（tría）,1,0 ,Three,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,tree,δέντρο（déntro）,1,0 ,Tree,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,two,δύο(dýo),2,0 ,Two,Two O'Clock,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,water,νερό（neró）,2,0 ,Rain,Water,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,what,τι(ti),1,0 ,What,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,white,άσπρο（áspro）,1,0 ,White,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,who,ποιός(poiós),2,0 ,Which,Who,,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,woman,γυνα?κα,3,0 ,Lady,Wife,Woman,,,,,,,,,,,,,,,,,,,,,,
Greek,Indo-European,you,εσείς(eseís),1,0 ,You,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,bad,mugu,4,0 ,Bad,"Debased,Evil, Wicked",Madly,Terribly,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,bird,tsuntsu,1,0 ,Bird,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,black,baƙi,4,0 ,Black,Dark,Negative,Sth Bad,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,blood,jini,3,0 ,Blood,Descent,Emmenia,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,bone,ƙashi,3,0 ,Bone,Plot Of A Story,Self-Interest,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,cold,sanyi,3,0 ,Cold,Slackness,Slowness,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,come,zo,3,0 ,Come,"Get,Become,Grow",Have An Orgasm,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,die,mutu,2,0 ,"Become Useless,Worn Out,Broken",Die,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,dog,kare,2,0 ,Dog,Insult,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,drink,sha,6,0 ,"Do A Lot Of Sth,Do Sth Often",Drink,Eat,Smoke,Suffer,Take On Or Use Gasoline,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,ear,kunne,1,0 ,Ear,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,earth_soil,ƙasa,5,0 ,Country,Earth,Geography,Ground,Soil,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,eat,ci,7,0 ,Abrade,Be Effective,"Cost, Consume",Eat,Enjoy,Overcome,Win,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,eye,ido,1,0 ,Eye,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,fire,wuta,4,0 ,Accelerate/Decelerate,Electricity,Fire,Sulfur,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,foot,ƙafa,6,0 ,Base,Bottom,Foot,"Foot, Metre",Leg,Measure Of Length,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,give,ba,3,0 ,Betray,Cause,Give,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,go,tafi,1,0 ,Go,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,good,kyau,3,0 ,Beauty,Fine Appearance,Good,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,hand,hannu,7,0 ,Arm,Control,Hand,Hand Of Clock,Share,Side,Sleeve,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,head,kai,3,0 ,Head,Talent,Top,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,hear_listen,ji,6,0 ,Fell,Hear,Listen,Smell,Taste,Understand,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,heart,zuciya,3,0 ,Courage,Heart,"Temper,Anger",,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,hot,zafi,6,0 ,Anger,Heat,Hemorrhoids,Hot,Intensity,Irritable,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,human,ɗan-adam,1,0 ,Human,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,I,ni,1,0 ,I,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,man,namiji,3,0 ,Male,Man,Masculine,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,moon,wata,2,0 ,Month,Moon,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,mouth,baki,6,0 ,Beak,Edge,Entrance,Mouth,Opening,Speech,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,new,sabo,2,0 ,New,Novice,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,night,dare,2,0 ,Eve,Night,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,not,ba,2,0 ,No,Not,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,old,tsoho,1,0 ,Old,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,one,ɗaya,3,0 ,Another,One,Same,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,rain,ruwan-sama,1,0 ,Rain,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,round,zagaya,2,0 ,Circle,Round,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,say,ce,4,0 ,As If,Be Considered As,Say,Tell,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,see_look,gani,3,0 ,Look,Opinion,See,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,sky,sama,4,0 ,Above,"Paradise,Heaven",Sky,Top,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,sleep,barci,1,0 ,Sleep,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,square,murabba'i,2,0 ,Quadrangular,Square,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,stand,tsaya,7,0 ,Be Limited To,Establish,Insist,Nominated,Stand,Stop,Wait,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,stone,dutse,3,0 ,Jewel,Mountain,Stone,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,sun,rana,3,0 ,Day,Sun,Warmth Or Heat From The Sun,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,that,wancan,2,0 ,That,That One,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,this,wannan,1,0 ,This,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,three,uku,1,0 ,Three,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,tree,itace,3,0 ,Firewood,Tree,Wood,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,two,biyu,4,0 ,Double,Double Talk,Two,Two-Faced,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,water,ruwa,6,0 ,Color,Interest(Money),Juice,Liquid,Rain,Water,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,what,me,2,0 ,What,Why,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,white,fari,3,0 ,Positive,Sth Bad,White,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,who,wa,2,0 ,Who,Whose,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,woman,mata,2,0 ,Female,Woman,,,,,,,,,,,,,,,,,,,,,,,
Hausa,Afro-Asiatic,you,ka,2,0 ,You,Your,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,bad,ino,7,0 ,Bad,Commoner,Dirty,Injure,Part,Spoiled,Storm,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,big,nui,3,0 ,Big,Enough,Many,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,bird,manu,3,0 ,Bird,Creature With Wings,Wing Of Kite,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,black,ele 'ele,4,0 ,Black,Cooking Fumes,Dark,Long,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,blood,ke koko,1,0 ,Blood,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,bone,iwi,7,0 ,Bone,Corncob,Long Line,Remnants,Ridge,Shell,Stem,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,cold,anu,5,0 ,"Ague,Fever,Etc",Cold,Cool,Coolness,Temperature,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,come,hele mai,2,0 ,Come,Walk,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,die,make,9,0 ,Beaten,Dead,Death,Desire,Die,Extremely,Faint,Kill,Want,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,dog,ilio,4,0 ,A Generic Term For Foreign Quadruped,Cloud,Dog,Supporting Wall Of Wood,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,drink,inu,3,0 ,Beverage,Drink,Drinking,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,ear,pepeiao,1,0 ,Ear,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,earth_soil,aina,2,2 ,Earth,Land,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,earth_soil,honua,4,2 ,Earth,Land,Part,World,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,eat,ai,4,0 ,Eat,Food,Rule,Score,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,eye,maka,9,0 ,Darling,Eye,Eye Of Needle,Lens Of Camera,"Mesh, Lattice",Point,Recognition,"Sight,Vision",Wound,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,fire,ke ahi,1,0 ,Fire,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,foot,wawae,4,0 ,Dance Step,Foot,Leg,Paw,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,give,haawi,6,0 ,Assign,Deal,Give,Grant,Offer,Present,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,go,hele,7,0 ,Become,Depart,Go,Similar,"Tie,Bind",Walk,When,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,good,maika'I loa,7,0 ,Beautiful,Beauty,Benefit,"Fine, Nice",Good,Health,Well,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,hand,lima,6,0 ,Arm,Fifth,Finger,Five,Hand,Sleeve,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,head,poo,7,0 ,Depression,End,Father,Head,Head Of A Penis Or Boil,Title,Top,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,hear_listen,lohe,4,0 ,Feel,Hear,Obedient,Obey,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,heart,Pu'uwai,2,0 ,Heart,Sth Heart-Shaped,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,hot,wela,3,0 ,Burned,Heat(N),Hot,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,human,ke kanaka,1,0 ,Human,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,I,I,1,0 ,I,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,long,loihi,4,0 ,Distence,Height,Length,Long,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,man,kane,3,0 ,Human,Male,Man,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,many,helu,3,0 ,Count,Many,Score,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,moon,luna ？？,4,0 ,"Chief,Leader",High,Moon,Upper,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,mouth,waha,5,0 ,Carry On The Back,Mouth,Neck Of A Dress,Opening,Tenon,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,new,hou,5,0 ,Afresh,Fresh,New,Push,"Recent,Up-To-Date",,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,night,pō,6,0 ,Darkness,Night,Obscure,Obscurity,The Realm Of The Gods,Thick,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,not,ʻaʻole,5,0 ,Be None,Have None,Never,No,Not,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,old,ka wa kahiko,2,0 ,Old,Old People,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,one,ekahi,2,0 ,Once,One,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,person,kanaka,5,0 ,Family,Human Sacrifice,Person,Population,Subject,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,rain,ka ua,1,0 ,Rain,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,round,apo. 名词,5,0 ,Circle,Circuit,Earring,Embrace,Round,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,say,aku nei au,2,0 ,Express,Say,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,see_look,ike,7,0 ,Feel,Greet,Receive Revelations From The Gods,See,Sense,Understand,Vision,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,sky,lani,6,0 ,Heavenly,Kinds Of Flowers,"Paradise,Heaven",Sky,Sovereign,Spiritual,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,sleep,hiamoe,3,0 ,Asleep,Fall Asleep,Sleep,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,small,uuku,3,0 ,Little,Small,Tiny,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,square,pāho'onui,1,0 ,Square,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,stand,kū,8,0 ,Alight,Hit,Land,Park,"Reach,Arrive",Rise,Stand,Stop,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,stone,pohaku,2,0 ,Stone,To Weight,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,sun,lā,8,0 ,A Sail,Date,Day,Demon,Solar,Sun,Sunny,Warmth Or Heat From The Sun,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,this,keia,4,0 ,The Latter,This,This Person,This Thing,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,three,akolu,2,0 ,Three,Three Times,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,tree,laau,7,0 ,General Name For Canoe End Piece,Lump Or Knot In The Flesh,Medicine,Picture Frame,Plant(N),Tree,Wood,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,two,alua,1,0 ,Two,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,water,kā wai,3,0 ,Alcohol,Drowsy,Water,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,what,ka mea,3,0 ,The,What,Who,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,white,ke'oke'o,4,0 ,Clear,Proud,White,White Muslin,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,who,ka mea,3,0 ,The,What,Who,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,woman,wahine,1,0 ,Woman,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Austronesian,you,oe,1,0 ,You,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,bad,רַע,7,0 ,Bad,Dangerous,"Debased,Evil, Wicked",Disagreeable,Inferior,Slim,Worthless,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,big,גָדוֹל,4,0 ,Big,"Great,Superior",Rich,"Significant,Important",,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,bird,צִפּוֹר,4,0 ,Bird,Bubble,Fowl,Sparrow,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,black,שָׁחוֹר,4,0 ,Black,Dark,"Dejected,Dismal",Gloomy,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,blood,דָם,2,0 ,Blood,Juice,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,bone,עֶצֶם,2,0 ,Bone,Essence,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,cold,קַר,2,0 ,Cold,Cool,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,come,בּוֹא,7,0 ,Come,Come In,Enter,Happen,"Reach,Arrive",Realise,Sun Set,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,die,מוּת,2,0 ,Die,"Perish,Wither",,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,dog,כֶּלֶב,1,0 ,Dog,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,drink,ֹשָתֹה,2,0 ,Be Derided,Drink,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,ear,אֹזֶן,2,0 ,Ear,Handle(N),,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,earth_soil,אֶרֶץ,6,0 ,Country,Earth,Ground,Land,Soil,Territory,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,eat,אָכִל,5,0 ,Be Consumed,"Cost, Consume",Destroy,Devour,Eat,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,eye,עַיִן,6,0 ,Aperture,Appearance,Bud,Eye,Hole,Sparkle,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,fire,אֵשׁ,3,0 ,Anger,Fire,Heat,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,foot,רֶגֶל,4,0 ,Base,Bottom,Foot,Leg,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,give,נָתַן,7,0 ,Allow,Give,Grant,"Make,Render","Put,Place","Transfer,Transmit",Yield,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,go,הָלַך,7,0 ,Continue,Depart,Die,Disappear,Go,Leave,Walk,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,good,טוֹב,9,0 ,Beautiful,"Cute,Lovely",Enjoyable,Fair,Good,Happy,Kind,Valuable,Well-Behaved,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,hand,יָד,10,0 ,Arm,Fold,Hand,Hand Of Clock,Handle(V),Journal Of Machine,Place,Power,Share,Stem Of Fruit,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,head,רֹאשׁ,8,0 ,Best,Capital Towns,"Chief,Leader",Head,Part,The Start,Top,Tributary,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,hear_listen,ֹשָמֹעַ,7,0 ,Hear,Learn,Lend An Ear,Listen,Obey,Pay Attention To,Understand,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,heart,לֵב,8,0 ,Center,Chest,Core,Heart,Middle,"Spirit, Mind",Thought,Will,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,hot,חַם,2,0 ,Hot,Warm,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,human,אֶנוֹשִׁי,4,0 ,Human,Humane,Humanitarian,Kind,,,,,,,,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,I,אֲנִי,2,0 ,"Ego,Self",I,,,,,,,,,,,,,,,,,,,,,,,
