Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Arabic,Afro-Asiatic,heart,قلب,11,0 ,Center,Change,Completely,Core,Courage,Heart,Nut,Pure Blooded Person,"Spirit, Mind",Sth Heart-Shaped,"Subversion, Upside Down, Flipping",,,,,,,,,,,,,,
Arabic,Afro-Asiatic,hot,ساخن,2,0 ,Be Jealous,Hot,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,human,إنسان,6,0 ,Excellent People,Human,"Person,People",Pupil,Robot,Wasteland,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,I,أنا,2,0 ,I,Myself,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,long,طويل,3,0 ,"High,Tall",Long,Long-Term,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,man,مرء,1,0 ,Man,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,many,كثير,3,0 ,Abundant,Many,Polynomial,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,moon,قمر,9,0 ,Comoros,Ganymede,Luna,Moon,Moonlight Flower,Satellite,"Scholar,Knowledegeable Person",Scientist,"Snow Blindness,Lunar Blindness",,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,mouth,فم,2,0 ,Blade,Mouth,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,new,جديد,8,0 ,At All Times,Death,Great,"Ground,Surface",Lucky,New,Severed,Staying Up Late,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,night,ليل,1,0 ,Night,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,not,ليس,2,0 ,Not,"Only,Just",,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,old,قديم,2,0 ,Ancient,Old,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,one,وحد,3,0 ,Integration,One,Standardize,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,person,شخص,6,0 ,Body,Body Politic,Character,Human,Person,Sculpture,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,rain,مطر,1,0 ,Rain,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,round,جولة,2,0 ,Roaming,Round,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,say,نطق,5,0 ,Narrate,Say,Sentence,"Talk,Speak",Vocalization,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,see_look,شاهد,6,0 ,Know,Observe,Prove,Recruit,See,Swear,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,sky,سماء,12,0 ,Canopy,Ceiling,"Celestial Body,Space",Grass,Horseback,"Paradise,Heaven",Rain,Roof,Sky,Top,Used To Measure,Zodiac,,,,,,,,,,,,,
Arabic,Afro-Asiatic,sleep,نوم,9,0 ,Death,"Foot Paralyzed,Numb",Ignore,Obedient,Ragged,Sleep,Trust,Unsalable,Wind Calm,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,small,صغير,2,0 ,Small,Younger,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,square,ميدان,3,0 ,Aspect,Piazza,Square,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,stand,وقوف,10,0 ,Confront,Doubt,Forbidden,Know,Stand,Stop,Stop Reading,Understand,Witness,Work,,,,,,,,,,,,,,,
